pertSize,reactionTime,initialResponse,subID,blockNo,speed,leftResponse,rightResponse,noResponse
100,1.71800297773007,-1,1,1,0,1,0,0
25,1.96100334369839,-1,1,1,0,1,0,0
-50,2.39700555062154,1,1,1,0,0,1,0
-200,3.37199899220286,1,1,1,0,0,1,0
150,2.36499947941047,-1,1,1,0,1,0,0
300,1.64000389027206,-1,1,1,0,1,0,0
-25,2.22700326394988,1,1,1,0,0,1,0
0,2.8719995156498,-1,1,1,0,1,0,0
-300,0.0220067653644946,1,1,1,0,0,1,0
50,2.88800548732252,-1,1,1,0,1,0,0
-100,0.900999764919106,1,1,1,0,0,1,0
0,4.41000174760848,-1,1,1,0,1,0,0
200,1.6060061297394,-1,1,1,0,1,0,0
-150,1.17899811649113,1,1,1,0,0,1,0
-100,2.30800032901607,1,1,1,0,0,1,0
-25,4.7150047413088,1,1,1,0,0,1,0
50,3.20100590407674,-1,1,1,0,1,0,0
200,1.69999963366718,-1,1,1,0,1,0,0
-150,1.2420009169582,1,1,1,0,0,1,0
-300,1.1909977685209,1,1,1,0,0,1,0
25,4.16100366925821,1,1,1,0,0,1,0
0,6.07400168835738,1,1,1,0,0,1,0
300,1.52700686096796,-1,1,1,0,1,0,0
-50,3.67000080501748,1,1,1,0,0,1,0
100,1.7610014996535,-1,1,1,0,1,0,0
0,4.95200696241955,1,1,1,0,0,1,0
-200,1.18899974524538,1,1,1,0,0,1,0
150,2.934004652976,-1,1,1,0,1,0,0
-150,2.38299867761089,1,1,1,0,0,1,0
200,0.760002262948547,-1,1,1,0,1,0,0
0,4.61500069689646,1,1,1,0,0,1,0
-100,2.32500022053864,1,1,1,0,0,1,0
50,2.97100659990247,-1,1,1,0,1,0,0
-300,0.753003682017152,1,1,1,0,0,1,0
0,4.32099777042458,-1,1,1,0,1,0,0
-25,7.75900467121392,-1,1,1,0,1,0,0
300,0.902003692390281,-1,1,1,0,1,0,0
150,2.75100073456997,-1,1,1,0,1,0,0
-200,0.968006317139952,1,1,1,0,0,1,0
-50,2.1910052289968,1,1,1,0,0,1,0
25,3.14999989974604,-1,1,1,0,1,0,0
100,2.7079987310135,-1,1,1,0,1,0,0
150,1.67600317132747,-1,1,1,0,1,0,0
-200,0.372000057221157,1,1,1,0,0,1,0
0,7.7530063118902,1,1,1,0,0,1,0
100,0.874004421355494,-1,1,1,0,1,0,0
-50,3.10400656521233,-1,1,1,0,1,0,0
